lat,lon,distance,rsrp,pci,lat_minmax,lon_minmax,distance_minmax,rsrp_minmax,pci_minmax,lat_meannorm,lon_meannorm,distance_meannorm,rsrp_meannorm
51.404169,12.210752,211.9419902177561,-85.6,217.0,0.5004078303426558,0.20724994511180755,0.04197320127522038,0.5703125000000001,0.0014084507042253522,0.16687853110661838,-0.6197220924060757,-1.2042612169661586,1.0584402756609812
51.404182,12.210804,212.5791490485042,-87.5,217.0,0.5007197006045213,0.2076576859141173,0.042113562851344516,0.540625,0.0014084507042253522,0.1686678153014011,-0.6175107588890761,-1.2032510128332656,0.8768020701498026
51.404193,12.210852,213.1192976501669,-85.3,217.0,0.5009835908262047,0.20803406203932198,0.04223255376132156,0.5750000000000001,0.0014084507042253522,0.17018182500528062,-0.6154695279503306,-1.2023946167143647,1.0871199923206405
51.404204,12.210897,213.75320523485328,-85.9,217.0,0.5012474810478881,0.20838691465670484,0.04237219911097347,0.5656249999999999,0.0014084507042253522,0.17169583470916014,-0.6135558739452378,-1.2013895673749864,1.0297605590013204
51.404215,12.210943,214.42660775354716,-86.0,217.0,0.5015113712695715,0.20874760844337095,0.04252054491476443,0.5640625,0.0014084507042253522,0.17320984441303966,-0.6115996942955437,-1.2003218995115643,1.020200653448101
51.404228,12.210984,215.4223735412267,-88.7,217.0,0.5018232415316074,0.2090690963836488,0.04273990506275938,0.521875,0.0014084507042253522,0.17499912860880038,-0.6098561428687048,-1.1987431303482674,0.7620832035111635
51.404241,12.211025,216.4605843254473,-87.1,217.0,0.5021351117934729,0.20939058432392663,0.04296861554276823,0.5468750000000001,0.0014084507042253522,0.1767884128035831,-0.608112591441866,-1.197097065388605,0.9150416923626827
51.404253,12.211067,217.4220531959752,-89.4,217.0,0.5024229920352473,0.2097199134334877,0.04318042032290937,0.5109374999999999,0.0014084507042253522,0.17844005975291422,-0.606326514370426,-1.1955726733849423,0.695163864638624
51.404267,12.211106,218.66912858048903,-89.9,217.0,0.5027588523173744,0.21002571903521303,0.04345514219455079,0.5031249999999999,0.0014084507042253522,0.18036698119412653,-0.6046680142327141,-1.1935954572707344,0.6473643368725246
51.404285,12.211133,220.4739082153527,-90.6,217.0,0.5031906726802065,0.21023743060565112,0.04385272236119272,0.49218750000000006,0.0014084507042253522,0.18284445161910118,-0.6035198218296131,-1.1907340108650397,0.5804449979999864
51.404304,12.21116,222.40862199772133,-89.2,217.0,0.5036464830631296,0.21044914217607527,0.044278926099942606,0.5140625,0.0014084507042253522,0.18545955928952745,-0.6023716294265876,-1.1876665561510882,0.7142836757450641
51.404322,12.211188,224.24600218292616,-91.3,217.0,0.5040783034257913,0.21066869491578266,0.04468368793684881,0.48125,0.0014084507042253522,0.18793702971352413,-0.6011809113789608,-1.1847534221455363,0.5135256591274469
51.404341,12.211208,226.25175918151027,-90.5,217.0,0.5045341138087145,0.21082551830127996,0.045125541992787614,0.49374999999999997,0.0014084507042253522,0.1905521373839504,-0.6003303984878421,-1.1815733296603237,0.5900049035532058
51.404363,12.211221,228.6318305342689,-92.9,217.0,0.5050618942519107,0.21092745350186437,0.045649854848922505,0.4562499999999999,0.0014084507042253522,0.19358015679073148,-0.5997775651085544,-1.177799768342317,0.3605671702759278
51.404385,12.211229,231.03800784445744,-91.7,217.0,0.5055896746952775,0.2109901828560605,0.04617991866251771,0.4749999999999999,0.0014084507042253522,0.19660817619849053,-0.599437359952122,-1.1739848164874205,0.4752860369145668
51.40441,12.211231,233.80417901766825,-91.5,217.0,0.5061894251990879,0.211005865194613,0.046789286573569254,0.47812499999999997,0.0014084507042253522,0.20004910734358233,-0.599352308662995,-1.1695991006868773,0.49440584802100684
51.404437,12.211228,236.81353931761856,-89.5,217.0,0.5068371557432508,0.2109823416867912,0.04745222732623917,0.509375,0.0014084507042253522,0.20376531298055534,-0.5994798855966477,-1.1648278127981024,0.6856039590854047
51.404466,12.211215,240.0879948204051,-88.3,217.0,0.5075328663275959,0.21088040648620682,0.04817356667388634,0.5281250000000001,0.0014084507042253522,0.20775679310843156,-0.6000327189759354,-1.1596362211222784,0.8003228257240437
51.404494,12.211203,243.2489115809849,-91.8,217.0,0.5082045868918499,0.21078631245490564,0.048869894241050794,0.4734375,0.0014084507042253522,0.21161063599085617,-0.6005430267106218,-1.1546246431276366,0.46572613136134744
51.404523,12.21119,246.52713840564832,-93.1,217.0,0.5089002974761949,0.21068437725433517,0.049592064384187506,0.45312500000000006,0.0014084507042253522,0.21560211611873237,-0.6010958600898338,-1.1494270720872293,0.34144735916948904
51.404552,12.211175,249.81720715737688,-90.6,217.0,0.5095960080607105,0.2105667597152122,0.05031684321995626,0.49218750000000006,0.0014084507042253522,0.21959359624758656,-0.601733744758173,-1.1442107258794925,0.5804449979999864
51.404579,12.211158,252.89861950572728,-88.5,217.0,0.510243738604703,0.21043345983752276,0.05099565652839776,0.525,0.0014084507042253522,0.2233098018835816,-0.6024566807157146,-1.1393252007337502,0.7812030146176037
51.404609,12.211143,256.3051040527848,-88.3,217.0,0.5109634392093094,0.21031584229839978,0.05174608093906804,0.5281250000000001,0.0014084507042253522,0.22743891925788737,-0.6030945653840537,-1.1339242793276485,0.8003228257240437
51.404638,12.211131,259.5861099169586,-93.7,217.0,0.5116591497936546,0.2102217482670986,0.05246886328491931,0.4437499999999999,0.0014084507042253522,0.2314303993857636,-0.60360487311874,-1.1287223021689181,0.2840879258501689
